	v
437	-0,0184913627
438	-0,0251016125
439	-0,013276258099999999
440	-0,013602650599999998
441	-0,0145091504
442	-0,00519041403
443	-0,014916649299999998
444	-0,009882273149999999
445	-0,0057250046700000005
446	-0,0021510723100000005
447	-0,015866288500000002
448	-0,00783003223
449	-0,00743895975
450	-0,00493571024
451	0,00410986898
452	1,96637611e-05
453	-0,00240261891
454	0,008912617420000001
455	0,0034218327399999997
456	0,003616220189999999
457	0,0032139320700000002
458	-0,00232364285
459	0,006060664889999999
460	-0,0017439792699999999
461	0,0032233658999999996
462	-0,00197743933
463	0,00910299922
464	0,007514196150000002
465	0,00220153258
466	0,013657725799999998
467	0,00789101759
468	0,021393006699999998
469	0,016792113
470	0,0195182725
471	0,016099066699999998
472	0,014388675200000001
473	0,0258778613
474	0,0336289232
475	0,0340608023
476	0,0355456871
477	0,0342675511
478	0,0379495536
479	0,030273162600000007
480	0,027834205
481	0,0373209565
482	0,028318452799999998
483	0,0255696592
484	0,032287687200000005
485	0,0334464113
486	0,028147969300000002
487	0,030385049200000007
488	0,041458554700000004
489	0,0434978271
490	0,0463783212
491	0,0329593248
492	0,0388700776
493	0,0470939621
494	0,0390371765
495	0,0505052869
496	0,041670833399999996
497	0,042480328
498	0,0435487408
499	0,0460111526
500	0,0432728779
501	0,0343182102
502	0,0376490941
503	0,035814639700000005
504	0,038501841
505	0,0462640784
506	0,0382361624
507	0,0562440418
508	0,052707082400000015
509	0,0491086936
510	0,057716385
511	0,0504673428
512	0,046604966
513	0,05283510579999999
514	0,05625129790000001
515	0,0603253296
516	0,06351557349999999
517	0,0540090066
518	0,0540493668
519	0,0624473563
520	0,0573289528
521	0,0604252808
522	0,062082300800000004
523	0,06765474219999999
524	0,0628586112
525	0,06574777849999999
526	0,0458502857
527	0,0429731245
528	0,0542862093
529	0,051220946199999985
530	0,0523125186
531	0,0433231679
532	0,055018591299999996
533	0,0594637722
534	0,0505628492
535	0,0493203636
536	0,0541687571
537	0,0447561409
538	0,055368368999999994
539	0,0528029624
540	0,049389006799999996
541	0,0386963679
542	0,0396260583
543	0,0412627152
544	0,0388875486
545	0,0413497513
546	0,0368976388
547	0,036616723500000004
548	0,0341529525
549	0,029928254300000002
550	0,02133546
551	0,0294205508
552	0,0364130624
553	0,0306103715
554	0,0325907446
555	0,0300533542
556	0,0337280087
557	0,0361608454
558	0,0346176574
559	0,0257642445
560	0,0256074633
561	0,0229901889
562	0,014953193799999997
563	0,012284286299999999
564	0,011283253600000001
565	0,0202937768
566	0,0151143886
567	0,014563733
568	0,00722812058
569	0,0073896651100000006
570	0,0205954304
571	0,007462023180000002
572	0,0165967394
573	0,0108371028
574	0,0005529278959999999
575	0,0145785906
576	0,015295574099999997
577	0,00978324559
578	0,007033671480000001
579	0,00702509718
580	0,00784165163
581	0,0068432057099999995
582	0,0101316023
583	0,0127836152
584	0,00987477868
585	0,00898796872
586	0,007031453259999999
587	0,006994906739999999
588	0,00343225615
589	0,00263648783
590	-0,000124250724
591	-0,00218280935
592	-0,0030477963800000004
593	-0,007433967390000002
594	-0,007155484870000002
595	-0,010823083999999998
596	-0,0023525974
597	0,0013288129300000001
598	-0,004103478789999999
599	-0,00601267076
600	-0,0043983755
601	-0,0129741541
602	-0,006951754289999999
603	-0,007124119180000002
604	-0,0055206497499999995
605	-0,00462764547
606	0,00114719614
607	0,003753401650000001
608	-0,00876111522
609	-0,0016536330800000002
610	-0,0169858631
611	-0,0118866274
612	-0,0139746482
613	-0,016548231599999998
614	-0,0165835795
615	-0,0173519749
616	-0,00750131812
617	-0,0101171248
618	-0,00301750865
619	-0,00903292147
620	-0,0242400144
621	-0,013492236100000003
622	-0,0109799225
623	-0,00510474001
624	-0,006482699829999999
625	-0,00909513633
626	-0,00728073192
627	-0,007102418519999998
628	-0,0124390298
629	-0,0115017581
630	-0,00464121823
631	-0,00899243776
632	-0,013081649999999997
633	-0,0120236427
634	-0,014439644800000003
635	-0,00839467487
636	-0,00356061405
637	-0,00865992706
638	-0,011763373899999999
639	-0,00432529195
640	-0,0113427287
641	-0,00926626035
642	-0,0167080266
643	-0,012685653500000001
644	-0,012296268899999999
645	-0,014071615
646	-0,006122936329999999
647	-0,005705307079999999
648	-0,00897752958
649	-0,00172086478
650	-0,0122607603
651	-0,011825829599999999
652	-0,004325449229999999
653	-0,0161848906
654	-0,0113835793
655	-0,014094162900000004
